;0.05;0.01;0.001;0.1
1;3.841458821;6.634896601;10.82756617;2.705543454
2;5.991464547;9.210340372;13.81551056;4.605170186
3;7.814727903;11.34486673;16.2662362;6.251388631
4;9.487729037;13.27670414;18.46682695;7.77944034
5;11.07049769;15.08627247;20.51500565;9.2363569
6;12.59158724;16.81189383;22.45774448;10.64464068
7;14.06714045;18.47530691;24.32188635;12.01703662
8;15.50731306;20.09023503;26.12448156;13.36156614
9;16.9189776;21.66599433;27.87716487;14.68365657
10;18.30703805;23.20925116;29.58829845;15.98717917
11;19.67513757;24.72497031;31.26413362;17.27500852
12;21.02606982;26.21696731;32.90949041;18.54934779
13;22.36203249;27.68824961;34.52817897;19.81192931
14;23.6847913;29.14123774;36.12327368;21.06414421
15;24.99579014;30.57791417;37.69729822;22.30712958
16;26.2962276;31.99992691;39.25235479;23.54182892
17;27.58711164;33.40866361;40.79021671;24.76903534
18;28.86929943;34.80530573;42.31239633;25.98942308
19;30.14352721;36.19086913;43.82019596;27.20357103
20;31.41043284;37.56623479;45.31474662;28.41198058
21;32.67057334;38.93217268;46.79703804;29.61508944
22;33.92443847;40.28936044;48.26794229;30.81328234
23;35.17246163;41.63839812;49.72823247;32.00689968
24;36.4150285;42.97982014;51.17859778;33.19624429
25;37.65248413;44.3141049;52.61965578;34.38158702
26;38.88513866;45.64168267;54.05196239;35.56317127
27;40.11327207;46.96294212;55.47602021;36.74121675
28;41.33713815;48.27823577;56.89228539;37.91592254
29;42.5569678;49.58788447;58.30117349;39.08746977
30;43.77297183;50.89218131;59.7030643;40.25602374
31;44.98534328;52.19139483;61.09830608;41.42173583
32;46.19425952;53.48577184;62.48721906;42.58474508
33;47.39988392;54.77553976;63.87009852;43.74517956
34;48.60236737;56.06090875;65.24721746;44.90315752
35;49.80184957;57.34207343;66.61882884;46.05878844
36;50.99846017;58.6192145;67.98516763;47.21217389
37;52.19231973;59.89250005;69.3464525;48.36340835
38;53.38354062;61.16208676;70.70288741;49.51257983
39;54.57222776;62.42812102;72.05466295;50.65977049
40;55.75847928;63.69073975;73.40195752;51.80505721
41;56.94238715;64.95007134;74.7449384;52.948512
42;58.12403768;66.20623628;76.08376271;54.09020245
43;59.30351203;67.45934792;77.41857824;55.23019209
44;60.48088658;68.70951297;78.74952423;56.36854073
45;61.65623338;69.95683207;80.07673201;57.50530474
46;62.82962041;71.20140025;81.40032566;58.64053738
47;64.00111197;72.44330738;82.72042252;59.77428893
48;65.1707689;73.68263852;84.03713372;60.90660703
49;66.33864886;74.91947431;85.35056461;62.03753679
50;67.50480655;76.15389125;86.66081519;63.16712101
51;68.66929391;77.38596202;87.96798048;64.29540034
52;69.83216034;78.61575572;89.27215083;65.42241341
53;70.99345283;79.84333812;90.57341231;66.54819701
54;72.15321617;81.06877191;91.87184688;67.67278616
55;73.31149303;82.29211683;93.16753277;68.79621424
56;74.46832416;83.51342993;94.46054464;69.91851312
57;75.62374847;84.73276571;95.75095383;71.03971325
58;76.77780316;85.95017625;97.03882857;72.1598437
59;77.93052381;87.1657114;98.32423413;73.27893231
60;79.08194449;88.3794189;99.60723307;74.39700572
61;80.23209785;89.59134449;100.8878853;75.51408946
62;81.38101519;90.80153203;102.1662483;76.630208
63;82.52872654;92.01002361;103.4423773;77.74538484
64;83.67526074;93.21685966;104.7163253;78.8596425
65;84.8206455;94.42207901;105.9881431;79.97300265
66;85.96490744;95.625719;107.2578798;81.08548613
67;87.1080722;96.82781556;108.5255824;82.19711294
68;88.25016442;98.02840328;109.7912965;83.30790238
69;89.39120787;99.22751547;111.0550656;84.41787301
70;90.53122543;100.4251842;112.3169319;85.52704271
71;91.67023918;101.6214405;113.576936;86.63542875
72;92.80827038;102.8163142;114.8351171;87.74304775
73;93.9453396;104.0098341;116.0915131;88.84991577
74;95.08146667;105.202028;117.3461606;89.95604832
75;96.21667075;106.3929229;118.5990948;91.06146037
76;97.35097038;107.5825448;119.8503499;92.16616641
77;98.48438346;108.7709187;121.0999589;93.27018043
78;99.61692732;109.9580691;122.3479538;94.37351596
79;100.7486187;111.1440194;123.5943655;95.47618613
80;101.879474;112.3287925;124.839224;96.57820362
81;103.0095087;113.5124105;126.0825583;97.67958071
82;104.1387382;114.6948947;127.3243966;98.78032932
83;105.2671773;115.8762659;128.5647661;99.880461
84;106.3948402;117.0565442;129.8036932;100.9799869
85;107.521741;118.2357493;131.0412037;102.078918
86;108.647893;119.4138999;132.2773225;103.1772647
87;109.7733094;120.5910145;133.5120738;104.2750373
88;110.8980028;121.767111;134.745481;105.3722458
89;112.0219857;122.9422068;135.9775671;106.4688997
90;113.1452701;124.1163187;137.2083541;107.5650085
91;114.2678677;125.2894631;138.4378638;108.6605813
92;115.3897897;126.461656;139.666117;109.755627
93;116.5110473;127.6329129;140.8931343;110.8501542
94;117.6316511;128.8032489;142.1189354;111.9441712
95;118.7516118;129.9726787;143.3435398;113.0376863
96;119.8709393;131.1412167;144.5669662;114.1307074
97;120.9896437;132.3088767;145.7892331;115.2232422
98;122.1077346;133.4756723;147.0103583;116.3152984
99;123.2252215;134.6416169;148.2303592;117.4068832
100;124.3421134;135.8067232;149.4492528;118.4980038
101;125.4584194;136.9710038;150.6670557;119.5886672
102;126.5741482;138.1344711;151.883784;120.6788803
103;127.6893083;139.297137;153.0994535;121.7686496
104;128.8039079;140.4590132;154.3140795;122.8579817
105;129.9179553;141.620111;155.5276772;123.9468828
106;131.0314583;142.7804416;156.740261;125.0353592
107;132.1444245;143.9400159;157.9518454;126.1234169
108;133.2568617;145.0988444;159.1624443;127.2110618
109;134.3687771;146.2569375;160.3720713;128.2982996
110;135.4801779;147.4143054;161.5807398;129.3851359
111;136.5910712;148.5709579;162.7884629;130.4715763
112;137.7014639;149.7269047;163.9952532;131.557626
113;138.8113626;150.8821552;165.2011232;132.6432905
114;139.9207739;152.0367188;166.4060851;133.7285747
115;141.0297043;153.1906043;167.6101509;134.8134837
116;142.13816;154.3438208;168.8133321;135.8980224
117;143.2461473;155.4963768;170.0156402;136.9821957
118;144.353672;156.6482808;171.2170864;138.0660081
119;145.4607402;157.7995412;172.4176816;139.1494644
120;146.5673576;158.9501659;173.6174365;140.232569
121;147.6735298;160.100163;174.8163615;141.3153263
122;148.7792623;161.2495402;176.0144669;142.3977406
123;149.8845606;162.3983053;177.2117628;143.4798162
124;150.98943;163.5464655;178.4082591;144.5615573
125;152.0938757;164.6940283;179.6039653;145.6429678
126;153.1979027;165.8410009;180.7988909;146.7240517
127;154.3015162;166.9873901;181.9930452;147.804813
128;155.4047209;168.1332031;183.1864373;148.8852555
129;156.5075216;169.2784464;184.3790761;149.9653829
130;157.6099231;170.4231268;185.5709704;151.0451988
131;158.71193;171.5672506;186.7621286;152.124707
132;159.8135469;172.7108244;187.9525593;153.2039109
133;160.914778;173.8538543;189.1422706;154.282814
134;162.0156279;174.9963465;190.3312707;155.3614197
135;163.1161008;176.138307;191.5195675;156.4397313
136;164.2162009;177.2797417;192.7071687;157.5177521
137;165.3159322;178.4206565;193.8940821;158.5954853
138;166.4152989;179.5610569;195.0803152;159.6729341
139;167.514305;180.7009486;196.2658753;160.7501016
140;168.6129543;181.8403371;197.4507697;161.8269909
141;169.7112506;182.9792278;198.6350055;162.9036048
142;170.8091977;184.117626;199.8185897;163.9799464
143;171.9067993;185.2555368;201.0015291;165.0560185
144;173.0040591;186.3929655;202.1838305;166.131824
145;174.1009806;187.529917;203.3655006;167.2073656
146;175.1975673;188.6663962;204.5465458;168.2826461
147;176.2938226;189.802408;205.7269726;169.3576682
148;177.38975;190.9379572;206.9067873;170.4324345
149;178.4853527;192.0730484;208.085996;171.5069476
150;179.5806342;193.2076864;209.2646048;172.5812101
151;180.6755974;194.3418755;210.4426197;173.6552245
152;181.7702457;195.4756204;211.6200467;174.7289932
153;182.8645822;196.6089252;212.7968914;175.8025188
154;183.9586098;197.7417945;213.9731596;176.8758034
155;185.0523317;198.8742323;215.148857;177.9488497
156;186.1457508;200.006243;216.3239889;179.0216597
157;187.2388699;201.1378305;217.4985608;180.0942359
158;188.3316921;202.268999;218.6725782;181.1665804
159;189.42422;203.3997524;219.8460461;182.2386955
160;190.5164565;204.5300946;221.0189699;183.3105832
161;191.6084043;205.6600295;222.1913545;184.3822459
162;192.7000662;206.7895609;223.3632051;185.4536855
163;193.7914446;207.9186925;224.5345265;186.5249042
164;194.8825424;209.047428;225.7053236;187.5959039
165;195.973362;210.1757711;226.8756011;188.6666867
166;197.0639059;211.3037252;228.0453639;189.7372546
167;198.1541768;212.431294;229.2146165;190.8076094
168;199.2441769;213.5584808;230.3833635;191.8777532
169;200.3339088;214.685289;231.5516094;192.9476878
170;201.4233749;215.8117222;232.7193587;194.017415
171;202.5125774;216.9377834;233.8866157;195.0869368
172;203.6015187;218.0634761;235.0533847;196.1562548
173;204.6902011;219.1888034;236.21967;197.225371
174;205.7786268;220.3137685;237.3854758;198.2942869
175;206.866798;221.4383746;238.5508062;199.3630045
176;207.954717;222.5626246;239.7156653;200.4315253
177;209.0423859;223.6865216;240.880057;201.4998511
178;210.1298067;224.8100687;242.0439854;202.5679834
179;211.2169816;225.9332687;243.2074542;203.6359241
180;212.3039127;227.0561246;244.3704675;204.7036745
181;213.390602;228.1786393;245.5330289;205.7712365
182;214.4770515;229.3008155;246.6951422;206.8386114
183;215.5632632;230.4226561;247.856811;207.9058009
184;216.649239;231.5441639;249.0180391;208.9728064
185;217.7349809;232.6653414;250.17883;210.0396295
186;218.8204907;233.7861915;251.3391873;211.1062717
187;219.9057703;234.9067167;252.4991143;212.1727344
188;220.9908216;236.0269196;253.6586146;213.239019
189;222.0756464;237.1468029;254.8176917;214.3051271
190;223.1602465;238.266369;255.9763487;215.3710599
191;224.2446237;239.3856206;257.1345891;216.4368189
192;225.3287798;240.5045599;258.292416;217.5024055
193;226.4127164;241.6231895;259.4498328;218.5678209
194;227.4964352;242.7415118;260.6068426;219.6330666
195;228.579938;243.8595292;261.7634486;220.6981438
196;229.6632264;244.977244;262.9196538;221.7630538
197;230.7463021;246.0946585;264.0754613;222.827798
198;231.8291667;247.211775;265.2308742;223.8923775
199;232.9118218;248.3285957;266.3858954;224.9567937
200;233.9942689;249.445123;267.5405278;226.0210477
201;235.0765096;250.5613589;268.6947744;227.0851408
202;236.1585456;251.6773058;269.8486381;228.1490743
203;237.2403782;252.7929656;271.0021217;229.2128492
204;238.322009;253.9083406;272.1552279;230.2764667
205;239.4034395;255.0234328;273.3079597;231.339928
206;240.4846711;256.1382443;274.4603196;232.4032343
207;241.5657054;257.2527772;275.6123104;233.4663867
208;242.6465436;258.3670334;276.7639348;234.5293863
209;243.7271874;259.481015;277.9151954;235.5922342
210;244.8076379;260.5947239;279.0660949;236.6549315
211;245.8878967;261.7081621;280.2166357;237.7174793
212;246.9679651;262.8213315;281.3668204;238.7798786
213;248.0478444;263.934234;282.5166516;239.8421304
214;249.127536;265.0468715;283.6661318;240.904236
215;250.2070412;266.1592459;284.8152633;241.9661961
216;251.2863613;267.2713589;285.9640487;243.028012
217;252.3654975;268.3832124;287.1124903;244.0896845
218;253.4444512;269.4948082;288.2605905;245.1512147
219;254.5232236;270.6061481;289.4083516;246.2126036
220;255.601816;271.7172337;290.555776;247.273852
221;256.6802295;272.828067;291.7028659;248.3349611
222;257.7584655;273.9386494;292.8496237;249.3959317
223;258.836525;275.0489829;293.9960515;250.4567647
224;259.9144094;276.1590689;295.1421515;251.5174611
225;260.9921196;277.2689093;296.2879261;252.5780218
226;262.069657;278.3785056;297.4333773;253.6384478
227;263.1470227;279.4878594;298.5785072;254.6987398
228;264.2242178;280.5969724;299.7233181;255.7588989
229;265.3012434;281.7058461;300.8678119;256.8189258
230;266.3781007;282.8144821;302.0119908;257.8788215
231;267.4547907;283.9228819;303.1558568;258.9385867
232;268.5313145;285.0310471;304.299412;259.9982224
233;269.6076732;286.1389793;305.4426583;261.0577294
234;270.6838679;287.2466798;306.5855978;262.1171085
235;271.7598996;288.3541502;307.7282323;263.1763605
236;272.8357694;289.461392;308.8705639;264.2354863
237;273.9114783;290.5684065;310.0125944;265.2944866
238;274.9870272;291.6751954;311.1543259;266.3533622
239;276.0624173;292.7817598;312.29576;267.412114
240;277.1376495;293.8881014;313.4368988;268.4707427
241;278.2127249;294.9942214;314.577744;269.5292491
242;279.2876443;296.1001213;315.7182976;270.5876339
243;280.3624087;297.2058024;316.8585612;271.6458979
244;281.4370192;298.3112661;317.9985366;272.7040419
245;282.5114766;299.4165136;319.1382257;273.7620665
246;283.5857819;300.5215464;320.2776302;274.8199726
247;284.659936;301.6263657;321.4167519;275.8777608
248;285.7339399;302.7309729;322.5555923;276.9354318
249;286.8077944;303.8353691;323.6941533;277.9929864
250;287.8815005;304.9395557;324.8324366;279.0504253
251;288.955059;306.043534;325.9704437;280.1077492
252;290.0284709;307.1473052;327.1081763;281.1649587
253;291.1017369;308.2508704;328.2456361;282.2220545
254;292.174858;309.3542311;329.3828247;283.2790373
255;293.2478351;310.4573882;330.5197436;284.3359078
256;294.3206689;311.5603431;331.6563945;285.3926667
257;295.3933603;312.663097;332.792779;286.4493145
258;296.4659102;313.7656509;333.9288985;287.505852
259;297.5383193;314.8680061;335.0647546;288.5622797
260;298.6105885;315.9701637;336.2003489;289.6185984
261;299.6827186;317.0721249;337.3356829;290.6748087
262;300.7547104;318.1738908;338.4707579;291.7309111
263;301.8265646;319.2754624;339.6055757;292.7869063
264;302.8982822;320.376841;340.7401374;293.8427949
265;303.9698637;321.4780276;341.8744448;294.8985775
266;305.0413101;322.5790233;343.0084991;295.9542547
267;306.1126221;323.6798291;344.1423018;297.0098271
268;307.1838004;324.7804462;345.2758544;298.0652954
269;308.2548458;325.8808756;346.4091581;299.12066
270;309.325759;326.9811183;347.5422145;300.1759215
271;310.3965408;328.0811754;348.6750248;301.2310806
272;311.4671919;329.1810479;349.8075905;302.2861378
273;312.5377129;330.2807368;350.9399129;303.3410937
274;313.6081047;331.3802432;352.0719932;304.3959488
275;314.678368;332.479568;353.2038329;305.4507036
276;315.7485033;333.5787122;354.3354333;306.5053588
277;316.8185115;334.6776768;355.4667956;307.5599148
278;317.8883933;335.7764628;356.5979211;308.6143723
279;318.9581492;336.8750711;357.7288112;309.6687316
280;320.02778;337.9735028;358.859467;310.7229935
281;321.0972863;339.0717586;359.9898899;311.7771583
282;322.1666689;340.1698397;361.120081;312.8312266
283;323.2359283;341.2677468;362.2500417;313.8851989
284;324.3050653;342.365481;363.379773;314.9390758
285;325.3740805;343.4630431;364.5092763;315.9928576
286;326.4429744;344.5604341;365.6385527;317.0465451
287;327.5117478;345.6576549;366.7676035;318.1001385
288;328.5804013;346.7547062;367.8964297;319.1536385
289;329.6489355;347.8515891;369.0250326;320.2070454
290;330.7173511;348.9483044;370.1534133;321.2603599
291;331.7856486;350.0448529;371.281573;322.3135823
292;332.8538286;351.1412356;372.4095128;323.3667132
293;333.9218918;352.2374532;373.5372339;324.4197529
294;334.9898387;353.3335067;374.6647373;325.4727021
295;336.05767;354.4293968;375.7920241;326.5255611
296;337.1253862;355.5251244;376.9190955;327.5783304
